dat,artist,musicbrainz_url,title,album,label,year,country
2014.10.23,Salkinitzor,http://musicbrainz.org/artist/decd5302-d0af-43f5-a22a-eaa7ed61fd56,Normal,Rymdkapsel Soundtrack,label,2013,Sweden
2014.10.23,Christof Dienz,http://musicbrainz.org/artist/bf307918-689e-4f9b-a0a7-6716e2780174,Canyon,Secrets of Rætikon OST,Broken Rules,2014,Austria
2014.10.23,Christoph Binder,http://musicbrainz.org/artist/40079d2f-713a-4ccc-881a-60cef0f3dcd8,Credits,And Yet it Moves,[no label],2011,Austria
irregular: needs manual input
2014.10.23,Dark0,http://musicbrainz.org/artist/cd11afeb-39f1-4e8a-a370-4b2dc6ad15c9,Mako March,Fate,Gobstopper Records,2014,England
irregular: needs manual input
2014.10.30,Steve Reich,http://musicbrainz.org/artist/a3031680-c359-458f-a641-70ccbaec6a74,Electronic Counterpoint,Different Trains/Electronic Counterpoint,Nonesuch,1989,USA
2014.10.30,Terry Riley,http://musicbrainz.org/artist/7bf257bf-19a8-4205-8ae8-98511e50b719,Poppy Nogood and the Phantom Band,A Rainbow in Curved Air,CBS,1990,USA
2014.10.30,Dawn of Midi,http://musicbrainz.org/artist/273dee46-43b8-4385-bdd2-d98bbad3c13e,Algol and Dysnomia,Dysnomia,Thirsty Ear,2013,USA
irregular: needs manual input
2014.11.06,Yellow Magic Orchestra,http://musicbrainz.org/artist/ac5af671-1df0-4312-8b7b-e61992ecc883,Technopolis,Solid State Survivor,Alfa Records,1979,Japan
2014.11.06,Toru Takemitsu,http://musicbrainz.org/artist/4e871dff-df89-45f5-857f-28067cdc9d5e,Sanza II,Garden Rain,Deutsche Grammophon,2005 (originally 1971),Japan / Switzerland
2014.11.06,bo en,http://musicbrainz.org/artist/ca6cf12d-ed80-4b57-954b-df81715ca8de,intro,pale machine,Maltine Records,2013,Japan) {[download the album](http://maltinerecords.cs8.biz/123.html
2014.11.06,bo en,http://musicbrainz.org/artist/ca6cf12d-ed80-4b57-954b-df81715ca8de,miss you,pale machine,Maltine Records,2013,Japan
2014.11.06,bo en,http://musicbrainz.org/artist/ca6cf12d-ed80-4b57-954b-df81715ca8de,friend,pale machine,Maltine Records,2013,Japan
